,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
136,0.01,robust,7,2.0535860889589332,0.0,287.10486601030334
137,0.01,risky_0.1,7,1.1029735609745384,0.0,655.591352674151
138,0.01,risky_0.0,7,1.1076404674663811,0.0,655.1113272888887
139,0.01,risky_1.0,7,1.0849020255418231,0.0,664.7353836008804
140,0.01,simple,8,1.1120861493052498,0.0,647.5593231717918
141,0.01,robust,8,2.0721765183987673,0.0,287.64537704442915
142,0.01,risky_0.1,8,1.1099738294296349,0.0,651.172082708028
143,0.01,risky_0.0,8,1.116987742806103,0.0,646.2005164521229
144,0.01,risky_1.0,8,1.0922211602720653,0.0,659.4995254196533
145,0.01,simple,9,1.1079653517476014,0.0,655.11489740236
146,0.01,robust,9,2.0609173719523994,0.0,286.7440548863247
147,0.01,risky_0.1,9,1.0980555831416834,0.0,658.8950334831177
148,0.01,risky_0.0,9,1.1049702406378314,0.0,655.4448416601196
149,0.01,risky_1.0,9,1.0810065210952047,0.0,667.5937039366517
150,0.005,simple,0,1.1257689549853818,0.0,639.1321444414946
151,0.005,robust,0,2.04330404984722,0.0,294.1378778728913
152,0.005,risky_0.1,0,1.1184477263183008,0.0,642.029348584579
153,0.005,risky_0.0,0,1.1249058783733483,0.0,640.1324835967248
154,0.005,risky_1.0,0,1.102172662202868,0.0,658.3407620254548
155,0.005,simple,1,1.1314571607355326,0.0,629.107249253237
156,0.005,robust,1,2.043049232113067,0.0,293.6737929642252
157,0.005,risky_0.1,1,1.1246667661390501,0.0,636.0328694545921
158,0.005,risky_0.0,1,1.129050058264558,0.0,630.9793373658492
159,0.005,risky_1.0,1,1.1077349611135439,0.0,644.6865970943971
160,0.005,simple,2,1.128168063455519,0.0,638.0091716297226
161,0.005,robust,2,2.0306405225895814,0.0,294.3557026599358
162,0.005,risky_0.1,2,1.1193790858888526,0.0,642.8199107368197
163,0.005,risky_0.0,2,1.1271547255813357,0.0,637.4566229335024
164,0.005,risky_1.0,2,1.1029666450922644,0.0,659.9455893596011
165,0.005,simple,3,1.1230066543666768,0.0,632.8127582053843
166,0.005,robust,3,2.037294500192091,0.0,294.1955327211461
167,0.005,risky_0.1,3,1.114447228935842,0.0,637.0421474407669
168,0.005,risky_0.0,3,1.1224209744009428,0.0,633.8398435354306
169,0.005,risky_1.0,3,1.1160711707888862,0.0,637.2702755702433
170,0.005,simple,4,1.1237697581011639,0.0,633.5581873846373
171,0.005,robust,4,2.038102357485573,0.0,293.41196140141903
172,0.005,risky_0.1,4,1.119146946119745,0.0,639.6055274898748
173,0.005,risky_0.0,4,1.121805173260801,0.0,635.5300232811499
174,0.005,risky_1.0,4,1.097578195561005,0.0,649.9986051203284
175,0.005,simple,5,1.1394994015117896,0.0,635.939408955615
176,0.005,robust,5,2.0336779621860863,0.0,294.00010954071547
177,0.005,risky_0.1,5,1.1276066301371865,0.0,641.4523231909079
178,0.005,risky_0.0,5,1.1357328645951617,0.0,637.2413759756233
179,0.005,risky_1.0,5,1.0999569010502204,0.0,651.8469833530712
180,0.005,simple,6,1.133481009801763,0.0,639.2728356772658
